C:\Users\Mr.Bool\Desktop\python作业\选课系统\UPFTP\ftpserver\home\wj,0.58MB
C:\Users\Mr.Bool\Desktop\python作业\选课系统\UPFTP\ftpserver\home\zw,0.00MB
